epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,24623.2,0.78587,0.41377,0.87193,0.9464,0.94934,0.98365,0.79374,0.65638,0.32529,0.70801,0.00052005,0.00052005,0.00052005
169,24722.3,0.8105,0.41818,0.88881,0.94538,0.95161,0.98365,0.79357,0.65571,0.3247,0.70779,0.0005052,0.0005052,0.0005052
170,24821.3,0.80006,0.41469,0.87384,0.94312,0.95161,0.98367,0.79348,0.65521,0.32421,0.70771,0.00049035,0.00049035,0.00049035
171,24920.1,0.77263,0.40311,0.86837,0.94355,0.95161,0.98362,0.79384,0.65671,0.32443,0.70755,0.0004755,0.0004755,0.0004755
172,25019.6,0.77033,0.4064,0.86319,0.94251,0.95161,0.98379,0.79506,0.65592,0.32422,0.70725,0.00046065,0.00046065,0.00046065
173,25118.4,0.77027,0.40884,0.877,0.94162,0.95392,0.98378,0.79486,0.65537,0.3239,0.70724,0.0004458,0.0004458,0.0004458
174,25217,0.75648,0.38917,0.86885,0.94335,0.95491,0.98398,0.79494,0.65471,0.32352,0.70712,0.00043095,0.00043095,0.00043095
175,25316.2,0.7872,0.39792,0.89046,0.93821,0.95699,0.9839,0.79569,0.65475,0.32255,0.7071,0.0004161,0.0004161,0.0004161
176,25414.7,0.78025,0.40008,0.87717,0.94223,0.9552,0.9839,0.79591,0.65397,0.32183,0.70688,0.00040125,0.00040125,0.00040125
177,25512.6,0.76772,0.40328,0.87206,0.94263,0.9552,0.98401,0.79469,0.65431,0.32274,0.70669,0.0003864,0.0003864,0.0003864
178,25610.4,0.73228,0.37673,0.85653,0.94208,0.9552,0.98397,0.79559,0.65453,0.32245,0.70652,0.00037155,0.00037155,0.00037155
179,25710.1,0.7729,0.40512,0.86553,0.93793,0.95699,0.98401,0.79592,0.65419,0.32091,0.70633,0.0003567,0.0003567,0.0003567
180,25809.1,0.76256,0.38305,0.87088,0.93804,0.95699,0.98407,0.79607,0.65415,0.32112,0.7062,0.00034185,0.00034185,0.00034185
181,25908.6,0.74844,0.37862,0.8733,0.93911,0.95699,0.98428,0.79662,0.65354,0.32091,0.70597,0.000327,0.000327,0.000327
